"zipCode","county","population","longitude","latitude","censusTract","censusBlockGroup"
"93710","Fresno","129","-119.78126117","36.808437678000075","5302","2"
"93710","Fresno","6","-119.72970685599995","36.837453107000044","5605","1"
"93710","Fresno","80","-119.74062138599999","36.80846644700006","5304","2"
"93710","Fresno","8","-119.76773254199998","36.836108645000024","5406","2"
"93710","Fresno","29","-119.79045991799995","36.82840089900003","4504","2"
"93710","Fresno","251","-119.76111195799996","36.818463087000055","5409","2"
"93710","Fresno","195","-119.74839181399994","36.83117635200006","5407","1"
"93710","Fresno","346","-119.77702112199995","36.82145463400008","5410","2"
"93710","Fresno","6","-119.72751496599994","36.81572313100003","5408","1"
"93710","Fresno","65","-119.79027127199998","36.81716144000006","4505","2"
"93710","Fresno","82","-119.73474640399996","36.82714975500005","5605","1"
"93710","Fresno","335","-119.75438357699994","36.80874694600004","5403","1"
"93710","Fresno","648","-119.78135100099996","36.83688512900005","4504","1"
"93710","Fresno","30","-119.76776847399998","36.80871098500006","5403","1"
"93710","Fresno","134","-119.75991719899997","36.82819956600008","5405","3"
"93710","Fresno","83","-119.74056748699996","36.83697859400007","5407","2"
"93710","Fresno","114","-119.75642275199999","36.83678447400007","5406","3"
"93710","Fresno","143","-119.77407464799995","36.82946507400004","5405","1"
"93710","Fresno","284","-119.77482923199995","36.81402589100003","5410","1"
"93710","Fresno","126","-119.79047788499997","36.80967474300007","4505","1"
"93710","Fresno","43","-119.79040601899999","36.83626681800007","4504","4"
"93710","Fresno","141","-119.76802000299995","36.82283530800004","5409","2"
"93710","Fresno","180","-119.75429374499998","36.822971936000044","5409","1"
"93710","Fresno","6","-119.73589624799996","36.81583819700006","5408","1"
"93710","Fresno","74","-119.78619292099995","36.822842499000046","4505","2"
"93710","Fresno","160","-119.76108500899994","36.81222073400005","5403","1"
"93710","Fresno","120","-119.75430272799997","36.81596764500006","5409","1"
"93710","Fresno","161","-119.78142286699995","36.82841527900007","4504","1"
"93710","Fresno","82","-119.74801452099996","36.83716552300007","5407","1"
"93710","Fresno","99","-119.76766067599999","36.815586490000044","5403","2"
"93710","Fresno","598","-119.78149473199994","36.81642790600006","4505","2"
"93710","Fresno","190","-119.76684321","36.83032790800007","5406","2"
"93710","Fresno","84","-119.74119630799999","36.83032071800005","5408","1"
"93710","Fresno","123","-119.73459369099999","36.83278693200003","5605","1"
"93710","Fresno","120","-119.73288689199995","36.81084706000007","5408","1"
"93710","Fresno","137","-119.77456872099998","36.83557660500003","5406","1"
"93710","Fresno","320","-119.74755638","36.808473639000056","5304","1"
"93710","Fresno","38","-119.77451482199996","36.80881167700005","5410","1"
"93710","Fresno","298","-119.76153416599999","36.83385104600006","5406","3"
"93710","Fresno","50","-119.78582461099995","36.83289478200004","4504","1"
"93710","Fresno","168","-119.75454527299996","36.83160776100004","5406","3"
"93710","Fresno","218","-119.76144433499996","36.82333148200007","5405","3"
"93710","Fresno","129","-119.72966193999997","36.83023443500008","5605","1"
"93710","Fresno","92","-119.77260141","36.81874355000008","5410","2"
"93710","Fresno","177","-119.778215881","36.83233395900004","5406","1"
"93710","Fresno","327","-119.77720976799998","36.82581949300004","5405","1"
"93710","Fresno","130","-119.74406193399994","36.83385104600006","5407","2"
"93710","Fresno","172","-119.73535725899995","36.836921077000056","5605","1"
"93710","Fresno","96","-119.75448239099995","36.82750209000005","5405","3"
"93710","Fresno","114","-119.77027477399997","36.82673270200007","5405","2"