county,total_0_to_30_min,total_30_to_45_min,total_45_to_60_min,total_60_plus_min,min_driving_time,avg_driving_time,max_driving_time,age_0_to_18_years_0_30_min,age_0_to_18_years_30_45_min,age_0_to_18_years_45_60_min,age_0_to_18_years_60_plus_min,age_19_to_25_years_0_30_min,age_19_to_25_years_30_45_min,age_19_to_25_years_45_60_min,age_19_to_25_years_60_plus_min,age_26_to_34_years_0_30_min,age_26_to_34_years_30_45_min,age_26_to_34_years_45_60_min,age_26_to_34_years_60_plus_min,age_35_to_54_years_0_30_min,age_35_to_54_years_30_45_min,age_35_to_54_years_45_60_min,age_35_to_54_years_60_plus_min,age_55_to_64_years_0_30_min,age_55_to_64_years_30_45_min,age_55_to_64_years_45_60_min,age_55_to_64_years_60_plus_min,age_65_plus_years_0_to_30_min,age_65_plus_years_30_to_45_min,age_65_plus_years_45_to_60_min,age_65_plus_years_60_min,income_0_to_15_k_0_30_min,income_0_to_15_k_30_45_min,income_0_to_15_k_45_60_min,income_0_to_15_k_60_plus_min,income_15_k_to_50_k_0_30_min,income_15_k_to_50_k_30_45_min,income_15_k_to_50_k_45_60_min,income_15_k_to_50_k_60_plus_min,income_50_k_to_100_k_0_30_min,income_50_k_to_100_k_30_45_min,income_50_k_to_100_k_45_60_min,income_50_k_to_100_k_60_plus_min,income_100_k_to_150_k_0_30_min,income_100_k_to_150_k_30_45_min,income_100_k_to_150_k_45_60_min,income_100_k_to_150_k_60_plus_min,income_150_k_to_200_k_0_30_min,income_150_k_to_200_k_30_45_min,income_150_k_to_200_k_45_60_min,income_150_k_to_200_k_60_plus_min,income_200_k_plus_0_to_30_min,income_200_k_plus_30_to_45_min,income_200_k_plus_45_to_60_min,income_200_k_plus_60_min,insurance_private_health_insurance_0_to_30_min,insurance_private_health_insurance_30_to_45_min,insurance_private_health_insurance_45_to_60_min,insurance_private_health_insurance_60_plus_min,insurance_public_health_insurance_0_to_30_min,insurance_public_health_insurance_30_to_45_min,insurance_public_health_insurance_45_to_60_min,insurance_public_health_insurance_60_plus_min,insurance_no_health_insurance_0_to_30_min,insurance_no_health_insurance_30_to_45_min,insurance_no_health_insurance_45_to_60_min,insurance_no_health_insurance_60_plus_min,race_hispanic_or_latino_any_race_0_to_30_min,race_hispanic_or_latino_any_race_30_to_45_min,race_hispanic_or_latino_any_race_45_to_60_min,race_hispanic_or_latino_any_race_60_plus_min,race_white_0_to_30_min,race_white_30_to_45_min,race_white_45_to_60_min,race_white_60_plus_min,race_black_0_to_30_min,race_black_30_to_45_min,race_black_45_to_60_min,race_black_60_plus_min,race_american_indian_alaska_native_0_to_30_min,race_american_indian_alaska_native_30_to_45_min,race_american_indian_alaska_native_45_to_60_min,race_american_indian_alaska_native_60_plus_min,race_asian_0_to_30_min,race_asian_30_to_45_min,race_asian_45_to_60_min,race_asian_60_plus_min,race_native_hawaiian_other_pacific_islander_0_to_30_min,race_native_hawaiian_other_pacific_islander_30_to_45_min,race_native_hawaiian_other_pacific_islander_45_to_60_min,race_native_hawaiian_other_pacific_islander_60_plus_min,race_multiracial_or_other_0_to_30_min,race_multiracial_or_other_30_to_45_min,race_multiracial_or_other_45_to_60_min,race_multiracial_or_other_60_plus_min,sex_male_0_to_30_min,sex_male_30_to_45_min,sex_male_45_to_60_min,sex_male_60_plus_min,sex_female_0_to_30_min,sex_female_30_to_45_min,sex_female_45_to_60_min,sex_female_60_plus_min
Alachua County,258553,6647,429,0,0,21,56,55265,1421,92,0,54835,1410,91,0,31803,818,53,0,60221,1548,100,0,28117,723,47,0,28312,728,47,0,48210,1239,80,0,96893,2491,161,0,66635,1713,111,0,26496,681,44,0,9732,250,16,0,10596,272,18,0,181112,4656,300,0,72423,1862,120,0,31930,821,53,0,22767,585,38,0,160057,4115,265,0,53037,1363,88,0,775,20,1,0,14882,383,25,0,301,8,0,0,6741,173,11,0,123564,3176,205,0,134989,3470,224,0
Baker County,0,21942,5675,1277,31,53,84,0,5972,1545,348,0,1986,514,116,0,2602,673,151,0,6457,1670,376,0,2518,651,147,0,2407,622,140,0,2381,616,139,0,7762,2008,452,0,7582,1961,441,0,3114,805,181,0,566,146,33,0,540,140,31,0,14265,3690,830,0,7427,1921,432,0,2702,699,157,0,490,127,29,0,18181,4702,1058,0,2890,747,168,0,72,19,4,0,158,41,9,0,0,0,0,0,140,36,8,0,11336,2932,660,0,10606,2743,617
Bay County,170388,6987,2069,63,0,25,72,39495,1619,479,15,16126,661,196,6,19871,815,241,7,49413,2026,600,18,20718,850,252,8,24766,1016,301,9,23089,947,280,9,67301,2760,817,25,52177,2140,633,19,19034,780,231,7,4936,202,60,2,3818,157,46,1,102181,4190,1241,38,64354,2639,781,24,28056,1150,341,10,10759,441,131,4,128684,5277,1562,48,19575,803,238,7,1042,43,13,0,4425,181,54,2,112,5,1,0,5790,237,70,2,84187,3452,1022,31,86201,3535,1047,32
Bradford County,390,16024,15244,49,27,43,62,84,3449,3281,11,35,1442,1371,4,51,2096,1994,6,115,4720,4490,15,48,1957,1862,6,57,2362,2247,7,88,3599,3424,11,134,5486,5218,17,117,4789,4555,15,37,1522,1448,5,10,414,394,1,5,221,210,1,218,8958,8522,28,165,6793,6463,21,61,2522,2399,8,14,575,547,2,289,11857,11279,37,78,3216,3060,10,0,15,14,0,2,95,91,0,0,4,4,0,7,270,257,1,212,8718,8294,27,178,7306,6951,23
Brevard County,566221,2582,22,2,0,13,124,118502,540,5,1,43895,200,2,0,49756,227,2,0,164398,750,6,1,77920,355,3,0,111750,510,4,0,65864,300,3,0,214215,977,8,1,175731,801,7,1,65371,298,3,0,23995,109,1,0,20683,94,1,0,370331,1689,14,2,217149,990,8,1,74196,338,3,0,52139,238,2,0,430767,1965,17,2,55040,251,2,0,1465,7,0,0,12109,55,0,0,390,2,0,0,14015,64,1,0,277828,1267,11,1,288165,1314,11,1
Broward County,1788301,0,0,0,0,2,15,416836,0,0,0,149416,0,0,0,207578,0,0,0,548351,0,0,0,207127,0,0,0,258993,0,0,0,204876,0,0,0,630249,0,0,0,527510,0,0,0,233200,0,0,0,92224,0,0,0,99688,0,0,0,1066134,0,0,0,548369,0,0,0,315040,0,0,0,492669,0,0,0,707532,0,0,0,476128,0,0,0,2290,0,0,0,64220,0,0,0,800,0,0,0,44147,0,0,0,870692,0,0,0,917120,0,0,0
Calhoun County,0,408,2741,12011,35,63,87,0,91,614,2692,0,35,236,1033,0,49,327,1431,0,121,815,3571,0,49,332,1454,0,62,418,1830,0,64,427,1871,0,203,1362,5969,0,101,675,2960,0,33,221,968,0,3,19,84,0,6,37,164,0,203,1363,5973,0,181,1213,5317,0,79,529,2316,0,22,150,655,0,320,2150,9421,0,50,334,1464,0,4,25,110,0,3,17,74,0,0,0,0,0,10,67,293,0,220,1479,6480,0,188,1262,5531
Charlotte County,161772,8483,107,89,0,27,112,23913,1254,16,13,8084,424,5,4,10043,527,7,6,35711,1873,24,20,27409,1437,18,15,56612,2969,37,31,19735,1035,13,11,69966,3669,46,38,49582,2600,33,27,15404,808,10,8,3797,199,3,2,3279,172,2,2,100358,5263,66,55,83911,4400,55,46,22786,1195,15,13,9549,501,6,5,138387,7257,91,76,8435,442,6,5,178,9,0,0,2030,106,1,1,108,6,0,0,3061,161,2,2,78202,4101,51,43,83570,4382,55,46
Citrus County,23713,106500,25757,181,16,38,72,3995,17941,4339,31,1290,5796,1402,10,1469,6596,1595,11,5600,25149,6082,43,3929,17645,4268,30,7431,33372,8071,57,3824,17172,4153,29,10781,48422,11711,82,6538,29363,7102,50,1728,7763,1877,13,425,1911,462,3,417,1874,453,3,13669,61390,14848,104,13180,59196,14317,101,2841,12759,3086,22,1213,5449,1318,9,21084,94695,22903,161,681,3060,740,5,74,333,81,1,356,1598,387,3,0,0,0,0,307,1377,333,2,11593,52067,12593,89,12120,54433,13165,93
Clay County,189573,18726,11088,0,0,27,55,52419,5178,3066,0,15066,1488,881,0,19255,1902,1126,0,58461,5775,3419,0,22337,2206,1306,0,22035,2177,1289,0,15974,1578,934,0,61328,6058,3587,0,67439,6662,3944,0,29329,2897,1715,0,9611,949,562,0,5788,572,339,0,134272,13264,7853,0,57748,5704,3378,0,22438,2216,1312,0,17165,1696,1004,0,141841,14011,8296,0,17797,1758,1041,0,326,32,19,0,6098,602,357,0,177,17,10,0,6188,611,362,0,93248,9211,5454,0,96325,9515,5634,0
Collier County,362216,1764,723,19,0,20,95,73048,356,146,4,24005,117,48,1,31356,153,63,2,89600,436,179,5,48399,236,97,3,95807,467,191,5,29378,143,59,2,124219,605,248,7,115703,563,231,6,45839,223,92,2,18361,89,37,1,28796,140,57,2,221671,1079,443,12,151188,736,302,8,64704,315,129,3,88948,433,178,5,240399,1171,480,13,23541,115,47,1,1040,5,2,0,5531,27,11,0,0,0,0,0,2718,13,5,0,178305,868,356,9,183911,896,367,10
Columbia County,1083,19116,48469,4678,23,51,82,257,4538,11507,1111,103,1810,4590,443,116,2050,5198,502,299,5278,13382,1292,140,2475,6277,606,168,2964,7515,725,165,2905,7366,711,448,7916,20071,1937,315,5555,14084,1359,104,1827,4633,447,29,503,1276,123,23,408,1035,100,594,10481,26574,2565,474,8371,21224,2049,157,2772,7028,678,60,1051,2665,257,793,13995,35484,3425,192,3390,8595,830,1,20,52,5,10,171,434,42,0,7,19,2,27,485,1230,119,552,9747,24715,2386,531,9368,23754,2293
DeSoto County,35045,521,8,9,1,23,95,8094,120,2,2,3564,53,1,1,3997,59,1,1,8514,127,2,2,3990,59,1,1,6886,102,2,2,4803,71,1,1,18049,268,4,5,9671,144,2,3,1646,24,0,0,531,8,0,0,336,5,0,0,14555,216,3,4,17506,260,4,5,8345,124,2,2,10911,162,3,3,20621,307,5,5,3057,45,1,1,77,1,0,0,80,1,0,0,39,1,0,0,264,4,0,0,19654,292,5,5,15391,229,4,4
Dixie County,0,0,2713,15063,55,76,108,0,0,545,3026,0,0,199,1105,0,0,269,1495,0,0,762,4228,0,0,418,2322,0,0,520,2886,0,0,533,2961,0,0,1406,7807,0,0,573,3180,0,0,120,665,0,0,46,254,0,0,35,193,0,0,1184,6571,0,0,1387,7703,0,0,482,2679,0,0,100,553,0,0,2325,12906,0,0,189,1048,0,0,10,58,0,0,11,59,0,0,0,0,0,0,77,428,0,0,1474,8186,0,0,1239,6877
Duval County,899507,2105,0,0,0,9,40,220675,516,0,0,96933,227,0,0,114939,269,0,0,261899,613,0,0,103459,242,0,0,101602,238,0,0,124116,290,0,0,335547,785,0,0,269315,630,0,0,98006,229,0,0,36501,85,0,0,36008,84,0,0,573726,1342,0,0,300703,704,0,0,124616,292,0,0,74858,175,0,0,490985,1149,0,0,268031,627,0,0,1826,4,0,0,37956,89,0,0,622,1,0,0,25364,59,0,0,436098,1020,0,0,463409,1084,0,0
Escambia County,297632,3576,7639,1442,0,26,82,68881,828,1768,334,35300,424,906,171,33226,399,853,161,79836,959,2049,387,36807,442,945,178,43582,524,1119,211,36126,434,927,175,127141,1528,3263,616,94589,1137,2428,458,27006,325,693,131,6762,81,174,33,5985,72,154,29,196057,2356,5032,950,108049,1298,2773,523,38953,468,1000,189,14627,176,375,71,190640,2291,4893,924,70571,848,1811,342,1156,14,30,6,7860,94,202,38,117,1,3,1,12677,152,325,61,146426,1759,3758,709,151206,1817,3881,733
Flagler County,128606,2468,28,0,1,19,51,26682,512,6,0,7666,147,2,0,11075,213,2,0,32401,622,7,0,19936,383,4,0,30846,592,7,0,13153,252,3,0,53783,1032,12,0,40876,785,9,0,13754,264,3,0,3505,67,1,0,3553,68,1,0,79441,1525,17,0,55879,1073,12,0,18203,349,4,0,11290,217,2,0,98981,1900,21,0,12374,237,3,0,20,0,0,0,2818,54,1,0,36,1,0,0,3106,60,1,0,61958,1189,13,0,66648,1279,14,0
Franklin County,0,0,8,12162,58,93,162,0,0,1,2360,0,0,1,1052,0,0,1,1664,0,0,2,3504,0,0,1,1639,0,0,1,1944,0,0,2,2424,0,0,3,5078,0,0,2,3251,0,0,1,925,0,0,0,180,0,0,0,315,0,0,4,6164,0,0,3,5474,0,0,2,2472,0,0,0,570,0,0,6,9519,0,0,1,1716,0,0,0,17,0,0,0,54,0,0,0,106,0,0,0,181,0,0,4,6824,0,0,3,5338
Gadsden County,9819,28238,9528,1781,17,43,70,2511,7220,2436,455,802,2305,778,145,1109,3190,1076,201,2786,8011,2703,505,1300,3739,1262,236,1312,3773,1273,238,1911,5496,1854,347,4275,12294,4148,775,2570,7392,2494,466,730,2100,708,132,232,666,225,42,101,289,98,18,5490,15790,5328,996,4116,11836,3994,746,1515,4356,1470,275,1042,2997,1011,189,3191,9178,3097,579,5411,15562,5251,981,11,31,10,2,42,120,40,8,3,9,3,1,118,340,115,21,4721,13576,4581,856,5098,14662,4947,925
Gilchrist County,859,7285,7168,1059,25,48,68,196,1660,1633,241,102,865,851,126,73,616,606,90,228,1938,1907,282,116,981,965,143,145,1226,1207,178,127,1076,1059,156,377,3201,3150,465,263,2234,2198,325,56,475,467,69,17,146,143,21,18,153,151,22,450,3818,3757,555,350,2969,2922,432,163,1379,1356,200,44,376,370,55,756,6416,6313,933,47,398,391,58,0,4,4,1,1,6,6,1,0,0,0,0,10,87,85,13,451,3823,3762,556,408,3462,3407,503
Glades County,4753,5138,1999,2260,2,42,97,926,1001,389,440,386,417,162,183,538,581,226,256,1260,1362,530,599,618,668,260,294,1025,1108,431,487,1003,1084,422,477,2214,2394,931,1053,1165,1260,490,554,182,197,76,86,99,107,42,47,93,101,39,44,2044,2210,860,972,2414,2609,1015,1147,1138,1230,479,541,994,1074,418,472,2918,3154,1227,1387,566,611,238,269,181,196,76,86,30,32,12,14,0,0,0,0,66,72,28,32,2569,2777,1080,1221,2184,2361,918,1038
Gulf County,0,464,9381,6813,32,66,102,0,78,1580,1148,0,37,750,545,0,62,1252,909,0,149,3009,2185,0,63,1271,923,0,75,1519,1103,0,91,1830,1329,0,181,3647,2648,0,115,2318,1683,0,57,1153,837,0,12,233,169,0,10,195,142,0,269,5432,3945,0,188,3799,2759,0,73,1483,1077,0,26,521,379,0,351,7090,5148,0,74,1501,1090,0,2,39,28,0,3,66,48,0,1,15,11,0,8,154,112,0,279,5635,4092,0,185,3747,2721
Hamilton County,0,0,0,13885,60,86,107,0,0,0,2909,0,0,0,1818,0,0,0,1598,0,0,0,3953,0,0,0,1794,0,0,0,1813,0,0,0,3219,0,0,0,5447,0,0,0,3603,0,0,0,1062,0,0,0,337,0,0,0,200,0,0,0,6965,0,0,0,6890,0,0,0,1835,0,0,0,1265,0,0,0,7688,0,0,0,4549,0,0,0,113,0,0,0,45,0,0,0,0,0,0,0,225,0,0,0,8010,0,0,0,5875
Hardee County,27099,895,36,4,0,22,65,7939,262,11,1,2968,98,4,0,3173,105,4,0,6921,228,9,1,2653,88,4,0,3446,114,5,0,4572,151,6,1,13226,437,18,2,6110,202,8,1,2366,78,3,0,430,14,1,0,391,13,1,0,9895,327,13,1,14130,466,19,2,5675,187,8,1,11854,391,16,2,12620,417,17,2,2136,71,3,0,42,1,0,0,166,5,0,0,6,0,0,0,276,9,0,0,14603,482,20,2,12496,413,17,2
Hendry County,18431,9063,12995,774,0,41,87,5394,2652,3803,227,1966,967,1386,83,2307,1135,1627,97,4997,2457,3523,210,1690,831,1191,71,2077,1021,1465,87,3488,1715,2459,147,8058,3962,5682,339,5091,2503,3589,214,1089,535,768,46,394,194,278,17,309,152,218,13,6752,3320,4761,284,7206,3543,5081,303,5680,2793,4005,239,9446,4645,6660,397,6105,3002,4304,257,2186,1075,1541,92,323,159,227,14,163,80,115,7,29,14,20,1,182,90,129,8,9842,4839,6939,414,8589,4224,6056,361
Hernando County,197548,472,0,0,0,12,32,41280,99,0,0,12900,31,0,0,16091,38,0,0,50901,122,0,0,28032,67,0,0,48345,115,0,0,27278,65,0,0,89052,213,0,0,58177,139,0,0,16107,38,0,0,4059,10,0,0,2863,7,0,0,109407,261,0,0,94438,226,0,0,27661,66,0,0,21901,52,0,0,158816,379,0,0,9747,23,0,0,203,0,0,0,2007,5,0,0,65,0,0,0,4809,11,0,0,95914,229,0,0,101634,243,0,0
Highlands County,10457,55097,38449,2759,25,53,81,1972,10392,7252,520,652,3435,2397,172,799,4211,2939,211,2227,11736,8190,588,1404,7400,5164,371,3388,17854,12460,894,1680,8852,6177,443,5214,27472,19171,1376,2696,14208,9915,711,583,3070,2142,154,157,829,579,42,112,590,412,30,5559,29293,20442,1467,5880,30982,21621,1551,1554,8188,5714,410,1920,10118,7061,507,7234,38117,26600,1909,991,5223,3645,262,15,81,57,4,156,822,574,41,3,16,11,1,123,650,453,33,5114,26947,18805,1349,5329,28081,19596,1406
Hillsborough County,1331894,1457,42,0,0,11,52,333049,364,10,0,139321,152,4,0,169476,185,5,0,393534,431,12,0,141335,155,4,0,155180,170,5,0,168601,184,5,0,471431,516,15,0,395646,433,12,0,163841,179,5,0,64277,70,2,0,68136,75,2,0,825197,903,26,0,428008,468,13,0,199214,218,6,0,353958,387,11,0,682051,746,21,0,206599,226,7,0,2414,3,0,0,53410,58,2,0,867,1,0,0,32683,36,1,0,648927,710,20,0,682967,747,21,0
Holmes County,0,0,2037,17841,46,74,96,0,0,460,4032,0,0,174,1526,0,0,210,1835,0,0,578,5060,0,0,268,2343,0,0,348,3046,0,0,463,4054,0,0,830,7269,0,0,543,4754,0,0,147,1283,0,0,32,278,0,0,24,209,0,0,1058,9263,0,0,902,7898,0,0,359,3144,0,0,31,271,0,0,1792,15696,0,0,152,1331,0,0,12,109,0,0,6,48,0,0,3,26,0,0,40,354,0,0,1084,9494,0,0,953,8347
